Race,Gender,Age,Education,Party,Vote,Ideology,Income,Union,Athlete,Friend of Athlete,Region,Support for NCAA Athletes,Support for NCAA Administrators,Racial Resentment Score,Linked Fate Score,Treatment Group,Payment Score,Protest Score,Pandemic Score,Violation Response,Suspension Response,Draft Response,Compensation Response,Social Image Response,Pandemic Response,LF,RR
WHITE,MALE,THIRTIES,MAST,DEM,YES,LIB,51k - 100k,NO,X,NO,NORTHEAST,S_SUPPORT,S_SUPPORT,2,0,Linked Fate Treatment Group,-3,0,2,Y,Y,Y,Y,N,Y,MID,MID
WHITE,FEMALE,TWENTIES,BACH,DEM,YES,LIB,51k - 100k,NO,X,NO,WESTCOAST,S_SUPPORT,NEITHER,6,6,Linked Fate Treatment Group,2,4,3,Y,N,N,N,Y,N,HIGH,LOW
WHITE,MALE,THIRTIES,BACH,IND,YES,LIB,51k - 100k,NO,X,NO,NORTHEAST,S_SUPPORT,S_OPPOSE,5,4,Retail Control Group,-1,3,2,X,X,X,X,X,X,MID,MID
MIXED,FEMALE,TWENTIES,BACH,DEM,YES,LIB,51k - 100k,NO,X,NO,SOUTHWEST,NEITHER,NEITHER,6,5,Linked Fate Treatment Group,3,4,3,Y,Y,Y,Y,N,N,MID,LOW
WHITE,FEMALE,THIRTIES,BACH,IND,YES,LIB,51k - 100k,NO,X,NO,MIDWEST,NEITHER,S_OPPOSE,6,6,Race Neutral Control Group,2,4,3,X,N,N,X,X,X,HIGH,LOW
WHITE,MALE,SIXTIES,MAST,IND,YES,MOD,51k - 100k,NO,X,NO,SOUTHEAST,S_SUPPORT,SUPPORT,1,1,Retail Control Group,-3,-4,-3,X,X,X,X,X,X,MID,MID
WHITE,FEMALE,FORTIES,SOME_COLL,IND,YES,MOD,0 - 24k,NO,X,NO,NORTHEAST,NEITHER,NEITHER,5,3,Racial Resentment Treatment Group,1,-1,3,Y,X,X,Y,N,Y,MID,MID
WHITE,FEMALE,THIRTIES,SOME_COLL,DEM,YES,LIB,301k - 500k,YES,X,NO,SOUTHEAST,NEITHER,OPPOSE,0,4,Retail Control Group,2,3,3,X,X,X,X,X,X,MID,MID
WHITE,MALE,SIXTIES,BACH,REP,YES,CON,301k - 500k,NO,X,NO,SOUTHEAST,NEITHER,NEITHER,0,1,Racial Resentment Treatment Group,-3,2,1,Y,Y,Y,N,N,N,MID,MID
HISP_LAT,MALE,THIRTIES,BACH,DEM,YES,MOD,51k - 100k,NO,X,NO,WESTCOAST,NEITHER,NEITHER,6,1,Linked Fate Treatment Group,2,2,3,Y,N,N,N,Y,N,MID,LOW
ASIAN,MALE,TWENTIES,BACH,DEM,YES,LIB,51k - 100k,NO,X,NO,WESTCOAST,NEITHER,OPPOSE,0,2,Retail Control Group,2,3,3,X,X,X,X,X,X,MID,MID
WHITE,MALE,FORTIES,SOME_COLL,REP,YES,CON,25k - 50k,YES,X,NO,NORTHEAST,NEITHER,NEITHER,1,0,Racial Resentment Treatment Group,-1,-4,3,Y,Y,Y,Y,N,N,MID,MID
WHITE,OTHER,THIRTIES,HS_GED,DEM,YES,LIB,0 - 24k,NO,X,NO,MIDWEST,S_SUPPORT,S_OPPOSE,6,6,Linked Fate Treatment Group,2,4,3,Y,N,N,N,Y,N,HIGH,LOW
WHITE,MALE,THIRTIES,BACH,IND,YES,MOD,51k - 100k,NO,X,NO,SOUTHEAST,NEITHER,NEITHER,-2,-1,Racial Resentment Treatment Group,-3,2,3,Y,Y,Y,Y,N,N,LOW,HIGH
WHITE,FEMALE,THIRTIES,SOME_COLL,IND,YES,MOD,25k - 50k,NO,X,NO,WESTCOAST,NEITHER,NEITHER,6,3,Retail Control Group,-2,2,2,X,X,X,X,X,X,MID,LOW
HISP_LAT,FEMALE,TWENTIES,SOME_COLL,DEM,YES,LIB,0 - 24k,NO,X,NO,WESTCOAST,S_OPPOSE,S_OPPOSE,0,7,Race Neutral Control Group,1,4,3,N,N,N,X,X,X,HIGH,MID
WHITE,FEMALE,TEENS,HS_GED,IND,YES,MOD,25k - 50k,NO,X,NO,SOUTHEAST,NEITHER,NEITHER,0,1,Race Neutral Control Group,1,2,-1,X,N,N,X,X,X,MID,MID
WHITE,FEMALE,THIRTIES,MAST,IND,YES,LIB,51k - 100k,YES,X,YES,MIDATLANTIC,S_SUPPORT,S_SUPPORT,5,2,Race Neutral Control Group,0,1,3,X,N,N,X,X,X,MID,MID
WHITE,X,THIRTIES,SOME_COLL,DEM,YES,LIB,25k - 50k,NO,X,NO,SOUTHEAST,S_SUPPORT,NEITHER,0,4,Racial Resentment Treatment Group,0,4,2,Y,Y,N,Y,N,N,MID,MID
WHITE,FEMALE,THIRTIES,BACH,IND,NO,LIB,25k - 50k,NO,X,YES,WESTCOAST,NEITHER,NEITHER,6,3,Race Neutral Control Group,-2,4,3,Y,Y,N,X,X,X,MID,LOW
MIXED,FEMALE,TEENS,SOME_COLL,DEM,YES,LIB,51k - 100k,NO,X,NO,MIDATLANTIC,NEITHER,NEITHER,3,3,Linked Fate Treatment Group,-3,3,3,Y,N,N,Y,N,N,MID,MID
WHITE,FEMALE,SIXTIES,BACH,IND,YES,MOD,51k - 100k,NO,X,NO,SOUTHWEST,OPPOSE,OPPOSE,2,4,Race Neutral Control Group,-1,0,3,Y,Y,N,X,X,X,MID,MID
WHITE,FEMALE,TWENTIES,BACH,REP,YES,CON,51k - 100k,YES,X,YES,NORTHWEST,SUPPORT,SUPPORT,5,0,Retail Control Group,2,0,0,X,X,X,X,X,X,MID,MID
BLACK,MALE,TWENTIES,SOME_COLL,IND,YES,CON,25k - 50k,NO,X,YES,SOUTHEAST,NEITHER,NEITHER,0,3,Racial Resentment Treatment Group,-1,0,-2,Y,N,Y,X,N,N,MID,MID
MIXED,FEMALE,FORTIES,ASSOC,DEM,NO,LIB,25k - 50k,NO,X,NO,NORTHEAST,NEITHER,NEITHER,4,3,Linked Fate Treatment Group,-1,2,3,Y,Y,N,Y,N,N,MID,MID
WHITE,FEMALE,TWENTIES,BACH,DEM,YES,MOD,51k - 100k,YES,X,NO,NORTHEAST,NEITHER,NEITHER,0,4,Race Neutral Control Group,-1,2,2,X,N,N,X,X,X,MID,MID
WHITE,MALE,TWENTIES,BACH,DEM,YES,LIB,51k - 100k,NO,X,NO,SOUTHWEST,S_SUPPORT,SUPPORT,4,1,Retail Control Group,-3,3,2,X,X,X,X,X,X,MID,MID
WHITE,MALE,FIFTIES,SOME_COLL,DEM,YES,LIB,0 - 24k,NO,X,YES,WESTCOAST,S_SUPPORT,SUPPORT,6,6,Linked Fate Treatment Group,0,2,3,N,N,N,N,Y,N,HIGH,LOW
WHITE,FEMALE,TWENTIES,BACH,DEM,YES,LIB,51k - 100k,NO,X,NO,NORTHEAST,NEITHER,NEITHER,6,6,Retail Control Group,0,4,3,X,X,X,X,X,X,HIGH,LOW
WHITE,MALE,FORTIES,BACH,REP,YES,CON,51k - 100k,YES,X,NO,MIDWEST,SUPPORT,SUPPORT,2,4,Retail Control Group,3,1,3,X,X,X,X,X,X,MID,MID
MIXED,FEMALE,TWENTIES,BACH,DEM,YES,LIB,51k - 100k,NO,X,NO,WESTCOAST,NEITHER,NEITHER,4,3,Race Neutral Control Group,2,4,3,N,N,N,X,X,X,MID,MID
WHITE,FEMALE,THIRTIES,MAST,IND,YES,LIB,51k - 100k,YES,X,YES,MIDATLANTIC,X,X,2,6,Linked Fate Treatment Group,3,0,0,Y,N,Y,Y,Y,Y,HIGH,MID
WHITE,MALE,FIFTIES,SOME_COLL,DEM,YES,LIB,25k - 50k,NO,X,NO,WESTCOAST,SUPPORT,NEITHER,4,2,Racial Resentment Treatment Group,1,1,2,Y,Y,N,Y,N,N,MID,MID
WHITE,MALE,TWENTIES,SOME_COLL,IND,YES,LIB,25k - 50k,NO,X,NO,MIDWEST,S_SUPPORT,OPPOSE,-1,4,Linked Fate Treatment Group,-3,4,-2,Y,N,N,N,N,N,MID,HIGH
WHITE,FEMALE,TWENTIES,BACH,DEM,YES,LIB,0 - 24k,NO,X,NO,MIDATLANTIC,SUPPORT,SUPPORT,3,2,Race Neutral Control Group,-2,2,2,X,Y,N,X,X,X,MID,MID
ASIAN,MALE,TWENTIES,BACH,IND,YES,LIB,51k - 100k,NO,X,YES,WESTCOAST,SUPPORT,NEITHER,-3,5,Racial Resentment Treatment Group,1,3,1,N,N,N,N,Y,Y,MID,HIGH
WHITE,MALE,THIRTIES,MAST,REP,YES,CON,51k - 100k,NO,X,NO,MIDWEST,SUPPORT,SUPPORT,4,2,Racial Resentment Treatment Group,-1,3,3,Y,Y,N,N,N,N,MID,MID
BLACK,MALE,FORTIES,SOME_HS,DEM,NO,CON,51k - 100k,NO,X,NO,NORTHEAST,SUPPORT,NEITHER,2,5,Retail Control Group,1,2,0,X,X,X,X,X,X,MID,MID
BLACK,MALE,FORTIES,HS_GED,DEM,NO,LIB,0 - 24k,NO,X,YES,MIDWEST,S_SUPPORT,S_SUPPORT,8,1,Race Neutral Control Group,0,4,2,Y,N,N,X,X,X,MID,LOW
WHITE,FEMALE,TWENTIES,SOME_COLL,IND,YES,LIB,51k - 100k,NO,X,YES,WESTCOAST,SUPPORT,SUPPORT,4,6,Race Neutral Control Group,1,2,3,Y,N,N,X,X,X,HIGH,MID
ASIAN,FEMALE,TWENTIES,BACH,DEM,YES,LIB,51k - 100k,NO,X,NO,WESTCOAST,SUPPORT,OPPOSE,4,6,Linked Fate Treatment Group,2,3,3,Y,Y,Y,Y,Y,N,HIGH,MID
WHITE,X,THIRTIES,BACH,REP,YES,MOD,51k - 100k,NO,X,YES,MIDWEST,S_SUPPORT,S_OPPOSE,-3,2,Race Neutral Control Group,-1,4,-2,X,N,N,X,X,X,MID,HIGH
MIXED,MALE,THIRTIES,BACH,DEM,YES,LIB,0 - 24k,NO,X,NO,WESTCOAST,S_SUPPORT,NEITHER,-1,2,Retail Control Group,0,3,2,X,X,X,X,X,X,MID,HIGH
WHITE,FEMALE,TWENTIES,SOME_COLL,DEM,YES,LIB,51k - 100k,NO,X,NO,NORTHWEST,NEITHER,NEITHER,6,7,Race Neutral Control Group,-2,4,2,Y,N,N,X,X,X,HIGH,LOW
ASIAN,FEMALE,TWENTIES,BACH,DEM,YES,LIB,0 - 24k,NO,X,NO,MIDWEST,NEITHER,NEITHER,2,5,Linked Fate Treatment Group,0,3,2,N,N,N,N,N,N,MID,MID
ASIAN,MALE,TWENTIES,BACH,DEM,YES,MOD,51k - 100k,NO,X,YES,WESTCOAST,SUPPORT,NEITHER,4,7,Racial Resentment Treatment Group,2,4,3,N,N,Y,Y,X,N,HIGH,MID
WHITE,MALE,THIRTIES,SOME_COLL,IND,YES,MOD,51k - 100k,NO,X,NO,MIDWEST,NEITHER,NEITHER,4,4,Racial Resentment Treatment Group,1,4,3,Y,Y,Y,Y,N,N,MID,MID
ASIAN,FEMALE,TWENTIES,BACH,DEM,YES,LIB,0 - 24k,NO,X,NO,WESTCOAST,NEITHER,NEITHER,3,7,Linked Fate Treatment Group,0,3,3,Y,Y,Y,Y,N,N,HIGH,MID
WHITE,FEMALE,FIFTIES,ASSOC,DEM,YES,LIB,51k - 100k,NO,X,NO,SOUTHEAST,SUPPORT,SUPPORT,3,1,Race Neutral Control Group,-3,3,3,Y,Y,N,X,X,X,MID,MID
ASIAN,MALE,TWENTIES,BACH,DEM,YES,LIB,25k - 50k,NO,X,NO,SOUTHWEST,NEITHER,OPPOSE,0,1,Linked Fate Treatment Group,-1,4,2,Y,Y,N,N,N,N,MID,MID
WHITE,FEMALE,TWENTIES,BACH,DEM,YES,LIB,301k - 500k,NO,X,NO,NORTHEAST,SUPPORT,NEITHER,7,5,Retail Control Group,-2,3,2,X,X,X,X,X,X,MID,LOW
WHITE,MALE,THIRTIES,SOME_COLL,DEM,YES,MOD,0 - 24k,NO,X,NO,SOUTHWEST,NEITHER,NEITHER,-1,4,Linked Fate Treatment Group,-1,2,2,Y,N,Y,Y,N,N,MID,HIGH
WHITE,FEMALE,TWENTIES,BACH,DEM,YES,LIB,51k - 100k,NO,X,NO,NORTHEAST,NEITHER,NEITHER,4,4,Racial Resentment Treatment Group,2,4,3,N,N,N,N,Y,N,MID,MID
WHITE,MALE,THIRTIES,PROF,IND,YES,MOD,25k - 50k,NO,X,YES,MIDWEST,SUPPORT,OPPOSE,2,-1,Racial Resentment Treatment Group,-3,-2,3,Y,Y,Y,Y,N,N,LOW,MID
WHITE,FEMALE,SIXTIES,BACH,DEM,YES,LIB,25k - 50k,NO,X,NO,SOUTHWEST,S_SUPPORT,S_SUPPORT,6,6,Retail Control Group,-3,3,3,X,X,X,X,X,X,HIGH,LOW
WHITE,FEMALE,THIRTIES,MAST,DEM,YES,LIB,51k - 100k,NO,X,NO,MIDWEST,S_SUPPORT,OPPOSE,6,7,Retail Control Group,2,4,2,X,X,X,X,X,X,HIGH,LOW
WHITE,MALE,TWENTIES,BACH,IND,YES,MOD,51k - 100k,NO,X,NO,WESTCOAST,S_SUPPORT,NEITHER,5,6,Linked Fate Treatment Group,3,4,3,Y,Y,Y,Y,N,N,HIGH,MID
WHITE,FEMALE,FORTIES,SOME_COLL,REP,YES,CON,51k - 100k,NO,X,NO,MIDATLANTIC,NEITHER,NEITHER,-2,-1,Retail Control Group,-3,-2,-3,X,X,X,X,X,X,LOW,HIGH
WHITE,MALE,THIRTIES,ASSOC,REP,YES,CON,0 - 24k,NO,X,NO,SOUTHWEST,NEITHER,NEITHER,5,-1,Race Neutral Control Group,-3,-3,3,Y,Y,N,X,X,X,LOW,MID
WHITE,FEMALE,TWENTIES,BACH,DEM,YES,LIB,0 - 24k,NO,X,NO,MIDWEST,NEITHER,NEITHER,6,7,Retail Control Group,-2,3,3,X,X,X,X,X,X,HIGH,LOW
WHITE,X,TWENTIES,BACH,DEM,YES,LIB,25k - 50k,YES,X,NO,MIDWEST,NEITHER,NEITHER,0,7,Race Neutral Control Group,2,4,3,Y,N,N,X,X,X,HIGH,MID
WHITE,FEMALE,SIXTIES,BACH,REP,YES,CON,51k - 100k,NO,X,YES,SOUTHWEST,NEITHER,NEITHER,0,-2,Race Neutral Control Group,-3,4,-2,N,N,N,X,X,X,LOW,MID
MIXED,FEMALE,THIRTIES,BACH,IND,YES,LIB,25k - 50k,NO,X,NO,WESTCOAST,SUPPORT,NEITHER,1,6,Racial Resentment Treatment Group,-2,3,3,N,N,N,N,N,N,HIGH,MID
BLACK,MALE,TWENTIES,SOME_COLL,IND,YES,MOD,51k - 100k,NO,X,NO,WESTCOAST,SUPPORT,SUPPORT,6,7,Retail Control Group,1,4,-3,X,X,X,X,X,X,HIGH,LOW
WHITE,FEMALE,FORTIES,MAST,DEM,YES,LIB,51k - 100k,NO,X,NO,NORTHEAST,NEITHER,NEITHER,4,1,Racial Resentment Treatment Group,2,1,3,Y,Y,Y,Y,N,N,MID,MID
BLACK,MALE,FORTIES,SOME_COLL,DEM,YES,LIB,25k - 50k,NO,X,NO,NORTHEAST,S_SUPPORT,SUPPORT,4,5,Linked Fate Treatment Group,-1,4,0,Y,Y,Y,Y,N,N,MID,MID
WHITE,FEMALE,FORTIES,MAST,REP,YES,MOD,51k - 100k,NO,X,NO,MIDATLANTIC,NEITHER,NEITHER,6,0,Retail Control Group,-3,0,3,X,X,X,X,X,X,MID,LOW
ASIAN,FEMALE,FORTIES,ASSOC,IND,YES,MOD,301k - 500k,NO,X,NO,WESTCOAST,NEITHER,NEITHER,4,2,Race Neutral Control Group,3,2,3,Y,Y,N,X,X,X,MID,MID
WHITE,MALE,TWENTIES,ASSOC,DEM,YES,LIB,51k - 100k,NO,X,NO,WESTCOAST,SUPPORT,OPPOSE,6,5,Race Neutral Control Group,-1,4,2,Y,N,N,X,X,X,MID,LOW
WHITE,FEMALE,FORTIES,BACH,DEM,YES,LIB,25k - 50k,NO,X,NO,SOUTHEAST,NEITHER,S_OPPOSE,3,3,Racial Resentment Treatment Group,-2,4,3,Y,Y,Y,Y,N,N,MID,MID
WHITE,MALE,FORTIES,HS_GED,IND,YES,CON,25k - 50k,NO,X,NO,MIDWEST,SUPPORT,NEITHER,-2,1,Linked Fate Treatment Group,-3,2,-2,Y,Y,Y,Y,N,N,MID,HIGH
WHITE,MALE,TWENTIES,PROF,DEM,YES,LIB,51k - 100k,NO,X,NO,NORTHEAST,S_SUPPORT,NEITHER,4,5,Linked Fate Treatment Group,0,3,2,Y,Y,Y,Y,N,N,MID,MID
MIXED,FEMALE,TWENTIES,ASSOC,DEM,YES,LIB,0 - 24k,NO,X,NO,SOUTHWEST,NEITHER,NEITHER,6,7,Race Neutral Control Group,3,4,3,N,N,N,X,X,X,HIGH,LOW
ASIAN,FEMALE,THIRTIES,PROF,DEM,YES,LIB,51k - 100k,NO,X,NO,WESTCOAST,NEITHER,NEITHER,2,7,Retail Control Group,-1,4,2,X,X,X,X,X,X,HIGH,MID
ASIAN,FEMALE,TWENTIES,BACH,DEM,YES,LIB,0 - 24k,NO,X,NO,SOUTHEAST,SUPPORT,SUPPORT,3,6,Linked Fate Treatment Group,0,1,2,Y,Y,Y,Y,N,N,HIGH,MID
WHITE,MALE,THIRTIES,MAST,DEM,YES,LIB,X,NO,X,YES,NORTHWEST,SUPPORT,SUPPORT,5,1,Race Neutral Control Group,-2,1,0,Y,N,Y,X,X,X,MID,MID
WHITE,FEMALE,TWENTIES,BACH,DEM,YES,LIB,51k - 100k,NO,X,YES,NORTHEAST,S_SUPPORT,SUPPORT,0,2,Retail Control Group,-2,0,3,X,X,X,X,X,X,MID,MID
WHITE,FEMALE,THIRTIES,SOME_COLL,IND,YES,MOD,25k - 50k,NO,X,NO,SOUTHEAST,SUPPORT,NEITHER,4,2,Retail Control Group,1,4,2,X,X,X,X,X,X,MID,MID
ASIAN,X,THIRTIES,BACH,DEM,YES,MOD,301k - 500k,NO,X,NO,WESTCOAST,NEITHER,OPPOSE,-1,0,Retail Control Group,-1,1,1,X,X,X,X,X,X,MID,HIGH
WHITE,FEMALE,FIFTIES,BACH,DEM,YES,LIB,51k - 100k,NO,X,NO,MIDWEST,S_SUPPORT,SUPPORT,4,7,Linked Fate Treatment Group,0,3,2,Y,N,N,N,Y,N,HIGH,MID
WHITE,MALE,THIRTIES,MAST,DEM,YES,LIB,51k - 100k,NO,X,YES,NORTHEAST,SUPPORT,NEITHER,6,1,Linked Fate Treatment Group,0,-1,0,Y,Y,Y,Y,Y,Y,MID,LOW
WHITE,FEMALE,THIRTIES,BACH,REP,YES,CON,25k - 50k,NO,X,NO,NORTHEAST,SUPPORT,SUPPORT,2,4,Race Neutral Control Group,-1,3,2,Y,Y,N,X,X,X,MID,MID
MIXED,MALE,TWENTIES,HS_GED,REP,YES,CON,25k - 50k,NO,X,NO,SOUTHEAST,NEITHER,NEITHER,4,4,Retail Control Group,-1,-1,1,X,X,X,X,X,X,MID,MID
WHITE,FEMALE,FORTIES,MAST,IND,YES,MOD,51k - 100k,NO,X,NO,NORTHEAST,SUPPORT,SUPPORT,3,0,Race Neutral Control Group,-3,-2,3,Y,Y,N,X,X,X,MID,MID
WHITE,FEMALE,THIRTIES,BACH,DEM,YES,LIB,51k - 100k,NO,X,NO,NORTHEAST,NEITHER,NEITHER,5,7,Racial Resentment Treatment Group,0,3,3,Y,N,N,Y,Y,N,HIGH,MID
WHITE,MALE,TWENTIES,SOME_COLL,DEM,YES,LIB,51k - 100k,NO,X,NO,NORTHEAST,NEITHER,NEITHER,-1,5,Racial Resentment Treatment Group,-1,4,-1,Y,N,Y,Y,N,N,MID,HIGH
WHITE,MALE,THIRTIES,BACH,IND,YES,MOD,51k - 100k,NO,X,NO,SOUTHWEST,NEITHER,NEITHER,0,0,Linked Fate Treatment Group,-3,4,-3,Y,Y,Y,Y,N,Y,MID,MID
ASIAN,MALE,TWENTIES,BACH,DEM,YES,LIB,51k - 100k,NO,X,NO,MIDATLANTIC,NEITHER,S_OPPOSE,-1,5,Retail Control Group,0,4,3,X,X,X,X,X,X,MID,HIGH
BLACK,MALE,THIRTIES,MAST,DEM,YES,LIB,51k - 100k,NO,X,NO,NORTHEAST,S_SUPPORT,S_SUPPORT,6,7,Retail Control Group,3,-4,3,X,X,X,X,X,X,HIGH,LOW
WHITE,FEMALE,TWENTIES,BACH,DEM,YES,LIB,51k - 100k,NO,X,NO,MIDWEST,SUPPORT,SUPPORT,4,6,Retail Control Group,3,4,2,X,X,X,X,X,X,HIGH,MID
MIXED,FEMALE,THIRTIES,SOME_COLL,DEM,YES,LIB,25k - 50k,NO,X,NO,WESTCOAST,S_SUPPORT,NEITHER,3,6,Racial Resentment Treatment Group,3,4,-1,N,N,N,N,Y,N,HIGH,MID
MIXED,MALE,TWENTIES,SOME_COLL,DEM,YES,LIB,0 - 24k,NO,X,YES,WESTCOAST,OPPOSE,S_OPPOSE,4,4,Linked Fate Treatment Group,2,3,2,N,N,N,N,Y,N,MID,MID
WHITE,MALE,TWENTIES,BACH,IND,YES,MOD,301k - 500k,NO,X,NO,SOUTHWEST,NEITHER,NEITHER,1,0,Race Neutral Control Group,-3,2,-2,Y,N,N,X,X,X,MID,MID
WHITE,FEMALE,THIRTIES,BACH,IND,YES,LIB,51k - 100k,NO,X,NO,NORTHEAST,NEITHER,NEITHER,4,4,Racial Resentment Treatment Group,-1,4,-2,Y,Y,N,Y,N,N,MID,MID
WHITE,X,FORTIES,BACH,IND,YES,CON,51k - 100k,NO,X,NO,SOUTHEAST,NEITHER,NEITHER,2,2,Linked Fate Treatment Group,-2,-3,-3,Y,Y,Y,Y,N,N,MID,MID
BLACK,MALE,TWENTIES,SOME_COLL,IND,YES,MOD,301k - 500k,NO,X,YES,NORTHEAST,NEITHER,NEITHER,2,4,Racial Resentment Treatment Group,-3,2,0,N,N,N,N,X,N,MID,MID
MIXED,FEMALE,SIXTIES,SOME_COLL,DEM,YES,LIB,0 - 24k,NO,X,NO,SOUTHWEST,NEITHER,NEITHER,4,4,Racial Resentment Treatment Group,-2,4,3,Y,X,N,Y,X,N,MID,MID
WHITE,FEMALE,TWENTIES,BACH,DEM,YES,MOD,51k - 100k,NO,X,NO,SOUTHEAST,SUPPORT,NEITHER,5,0,Race Neutral Control Group,-1,0,-1,X,Y,N,X,X,X,MID,MID
WHITE,MALE,FORTIES,MAST,DEM,YES,LIB,301k - 500k,NO,X,NO,MIDWEST,SUPPORT,S_OPPOSE,2,5,Retail Control Group,2,4,3,X,X,X,X,X,X,MID,MID
WHITE,MALE,FIFTIES,MAST,DEM,YES,LIB,301k - 500k,NO,X,YES,NORTHEAST,NEITHER,OPPOSE,5,3,Racial Resentment Treatment Group,2,4,2,Y,N,N,N,Y,N,MID,MID
WHITE,FEMALE,TWENTIES,BACH,DEM,YES,LIB,51k - 100k,YES,X,NO,MIDWEST,SUPPORT,NEITHER,4,1,Linked Fate Treatment Group,1,4,-2,Y,Y,Y,N,N,N,MID,MID
ASIAN,FEMALE,TWENTIES,BACH,DEM,YES,LIB,51k - 100k,NO,X,NO,SOUTHWEST,NEITHER,NEITHER,4,4,Race Neutral Control Group,-2,4,2,Y,Y,N,X,X,X,MID,MID
WHITE,MALE,THIRTIES,HS_GED,IND,YES,MOD,0 - 24k,NO,X,NO,SOUTHEAST,NEITHER,NEITHER,4,3,Retail Control Group,3,3,3,X,X,X,X,X,X,MID,MID
WHITE,FEMALE,FIFTIES,ASSOC,DEM,YES,LIB,51k - 100k,NO,X,NO,SOUTHEAST,S_SUPPORT,S_SUPPORT,5,5,Retail Control Group,0,3,3,X,X,X,X,X,X,MID,MID
WHITE,FEMALE,THIRTIES,MAST,REP,YES,CON,51k - 100k,YES,X,NO,WESTCOAST,SUPPORT,SUPPORT,8,0,Linked Fate Treatment Group,2,0,3,N,N,N,N,Y,N,MID,LOW
WHITE,MALE,FORTIES,ASSOC,REP,YES,CON,25k - 50k,NO,X,NO,MIDWEST,SUPPORT,SUPPORT,-1,0,Retail Control Group,1,-2,-3,X,X,X,X,X,X,MID,HIGH
WHITE,FEMALE,THIRTIES,PROF,REP,YES,LIB,51k - 100k,NO,X,YES,NORTHEAST,SUPPORT,SUPPORT,4,3,Racial Resentment Treatment Group,2,-1,2,Y,Y,N,N,N,N,MID,MID
HISP_LAT,MALE,TWENTIES,HS_GED,IND,YES,CON,25k - 50k,NO,X,NO,NORTHWEST,NEITHER,NEITHER,0,-2,Race Neutral Control Group,1,0,2,Y,Y,N,X,X,X,LOW,MID
WHITE,FEMALE,TWENTIES,SOME_COLL,REP,YES,CON,51k - 100k,NO,X,NO,SOUTHEAST,S_SUPPORT,NEITHER,3,3,Racial Resentment Treatment Group,-3,4,-3,Y,Y,N,Y,N,N,MID,MID
WHITE,FEMALE,TWENTIES,BACH,DEM,YES,LIB,0 - 24k,NO,X,NO,NORTHEAST,SUPPORT,SUPPORT,0,1,Linked Fate Treatment Group,2,1,3,Y,N,N,Y,N,N,MID,MID
WHITE,MALE,SIXTIES,BACH,IND,YES,MOD,51k - 100k,NO,X,NO,MIDWEST,SUPPORT,NEITHER,7,4,Retail Control Group,-3,-2,2,X,X,X,X,X,X,MID,LOW
BLACK,MALE,THIRTIES,BACH,DEM,YES,LIB,51k - 100k,YES,X,NO,MIDATLANTIC,SUPPORT,SUPPORT,2,0,Race Neutral Control Group,1,2,-1,Y,N,Y,X,X,X,MID,MID
WHITE,FEMALE,FIFTIES,MAST,REP,YES,CON,25k - 50k,NO,X,NO,NORTHEAST,NEITHER,NEITHER,-1,2,Linked Fate Treatment Group,1,-4,-3,N,N,N,Y,N,Y,MID,HIGH
WHITE,MALE,FIFTIES,SOME_COLL,IND,NO,MOD,0 - 24k,NO,X,NO,SOUTHEAST,SUPPORT,NEITHER,0,4,Racial Resentment Treatment Group,-1,4,2,X,X,N,Y,X,N,MID,MID
ASIAN,MALE,THIRTIES,BACH,DEM,YES,MOD,0 - 24k,NO,X,NO,WESTCOAST,S_SUPPORT,NEITHER,1,1,Race Neutral Control Group,-3,1,2,Y,N,N,X,X,X,MID,MID
WHITE,MALE,TWENTIES,BACH,DEM,YES,LIB,51k - 100k,NO,X,NO,MIDATLANTIC,SUPPORT,OPPOSE,4,7,Race Neutral Control Group,2,3,3,N,N,N,X,X,X,HIGH,MID
WHITE,FEMALE,FIFTIES,MAST,DEM,YES,LIB,51k - 100k,NO,X,NO,NORTHWEST,S_SUPPORT,OPPOSE,1,6,Retail Control Group,2,4,1,X,X,X,X,X,X,HIGH,MID
WHITE,FEMALE,FORTIES,SOME_COLL,DEM,YES,LIB,51k - 100k,NO,X,NO,SOUTHWEST,S_SUPPORT,S_SUPPORT,6,5,Retail Control Group,2,4,1,X,X,X,X,X,X,MID,LOW
HISP_LAT,FEMALE,THIRTIES,BACH,IND,YES,LIB,0 - 24k,NO,X,NO,WESTCOAST,SUPPORT,NEITHER,6,7,Racial Resentment Treatment Group,3,4,2,Y,N,N,N,X,N,HIGH,LOW
WHITE,MALE,FORTIES,BACH,IND,YES,MOD,51k - 100k,YES,X,NO,NORTHEAST,S_SUPPORT,NEITHER,3,-1,Linked Fate Treatment Group,-3,-2,-2,Y,Y,N,Y,N,Y,LOW,MID
BLACK,FEMALE,THIRTIES,ASSOC,IND,YES,LIB,0 - 24k,NO,X,NO,WESTCOAST,NEITHER,NEITHER,6,6,Race Neutral Control Group,0,3,3,X,N,N,X,X,X,HIGH,LOW
MIXED,MALE,FORTIES,BACH,REP,YES,CON,0 - 24k,NO,X,YES,NORTHEAST,NEITHER,NEITHER,0,2,Racial Resentment Treatment Group,-3,4,2,Y,Y,N,Y,N,N,MID,MID
WHITE,MALE,TEENS,SOME_COLL,IND,YES,MOD,51k - 100k,NO,X,NO,SOUTHWEST,SUPPORT,NEITHER,1,-1,Retail Control Group,-3,1,-2,X,X,X,X,X,X,LOW,MID
